price,year,trans,fuel,km,kw
,2010,Manuál,Diesel,242876,55

,2007,Manuál,Benzín,297627,44

,2005,Manuál,Benzín,121415,40

,2009,Manuál,Benzín,259220,44

,2005,Manuál,Benzín,257952,55

,2008,Manuál,Diesel,280612,51

,2006,Manuál,Benzín,98285,47

,2006,Manuál,Benzín,111897,47

,2003,Manuál,Benzín,51529,40

,2005,Manuál,Benzín,98232,47

,2007,Manuál,Diesel,201367,51

,2003,Manuál,Diesel,237180,74

,2005,Manuál,Benzín,116659,47

,2008,Manuál,Benzín,232730,55

,2007,Manuál,Benzín,106238,40

,2005,Manuál,Benzín,161717,47

,2010,Manuál,Diesel,216054,55

,2010,Manuál,Benzín,236555,51

,2012,Manuál,Diesel,231215,55

,2010,Manuál,Benzín,130459,51

,2002,Manuál,Benzín,93506,40

,2004,Manuál,Diesel,164759,55

,2009,Manuál,Benzín,268519,44

,2007,Manuál,Benzín,172174,40

,2009,Manuál,Benzín,225000,44

,2008,Manuál,Diesel,256272,77

,2007,Manuál,Benzín,135058,51

,2008,Manuál,Diesel,304000,51

,2003,Manuál,Diesel,199320,47

,2007,Manuál,Diesel,210000,74

,2007,Manuál,Benzín,174600,47

,2006,Manuál,Diesel,182990,59

,2006,Manuál,Benzín,188900,55

,2005,Manuál,Benzín,117000,55

,2007,Manuál,Benzín,148139,59

,2006,Manuál,Diesel,173000,74

,2008,Manuál,Benzín,210295,51

,2007,Manuál,Diesel,190857,51

,2004,Manuál,Benzín,163625,55

,2007,Manuál,Diesel,306510,74

,2002,Manuál,Benzín,168500,55

,2008,Manuál,Diesel,176616,59

,2000,Manuál,Diesel,174462,47

,2008,Manuál,Benzín,178922,51

,2008,Manuál,Benzín,197451,51

,2004,Manuál,Diesel,261630,74

,2004,Manuál,Benzín,75850,40

,2008,Manuál,Benzín,179435,51

,2003,Manuál,Diesel,246348,74

,2006,Manuál,Benzín,210076,74

,2013,Manuál,Benzín,172000,44

,2009,Manuál,Benzín,252631,63

,2007,Manuál,Benzín,176955,63

,2006,Manuál,Diesel,,59

,2007,Manuál,Benzín,121536,47

,2004,Manuál,Benzín,152181,55

,2008,Manuál,Benzín,215279,44

,2012,Manuál,Benzín,157000,44

,2006,Manuál,Benzín,159000,55

,2009,Manuál,Benzín,167000,51

,2006,Manuál,Diesel,217616,74

,2003,Manuál,Benzín,106540,55

,2003,Manuál,Benzín,165320,74

,2005,Manuál,Benzín,148898,55

,2010,Manuál,Benzín,207300,51

,2007,Manuál,Benzín+Plyn,294888,44

,2011,Manuál,Diesel,293522,66

,2004,Manuál,Benzín,125726,55

,2006,Manuál,Benzín,191760,55

,2012,Manuál,Diesel,300200,55

,2010,Manuál,Diesel,162452,51

,2007,Manuál,Diesel,281337,77

,2006,Manuál,Benzín+Plyn,163397,47

,2012,Manuál,Diesel,194090,55

,2006,Manuál,Benzín+Plyn,163397,47

,2007,Manuál,Benzín,125138,47

,2004,Manuál,Diesel,,55

,2005,Manuál,Benzín,140780,55

,2012,Manuál,Benzín,289000,77

,2006,Manuál,Benzín,146762,55

,2007,Manuál,Diesel,,51

,2007,Manuál,Benzín,225000,44

,2011,Manuál,Benzín,385000,63

,2008,Manuál,Diesel,245000,59

,2005,Manuál,Benzín,160000,47

