price,year,km,kw,Automat,Manuál,Benzín,Benzín+Plyn,Diesel,Elektro,Hybrid
550.0,0.3333333333333333,0.6289318685947254,0.1382978723404255,0,1,1,0,0,0,0
600.0,0.4615384615384615,0.9251705974860764,0.2393617021276596,0,1,0,0,1,0,0
690.0,0.3333333333333333,0.4323710589748814,0.0797872340425532,0,1,1,0,0,0,0
999.0,0.5641025641025641,0.8387673487513935,0.0797872340425532,0,1,1,0,0,0,0
1000.0,0.4871794871794871,0.7451441809145994,0.1968085106382978,0,1,1,0,0,0,0
1095.0,0.5384615384615384,0.6104517142157323,0.0797872340425532,0,1,1,0,0,0,0
1200.0,0.4358974358974359,0.4737745709596266,0.1808510638297872,0,1,1,0,0,0,0
1298.0,0.4358974358974359,0.4447163423349594,0.0797872340425532,0,1,1,0,0,0,0
1300.0,0.5897435897435898,0.5257996506786129,0.0797872340425532,0,1,1,0,0,0,0
1300.0,0.3846153846153846,0.5213427126659906,0.2180851063829787,0,1,0,0,1,0,0
1320.0,0.4615384615384615,0.5326899349200063,0.1808510638297872,0,1,1,0,0,0,0
1360.0,0.4102564102564102,0.75254494136391,0.2180851063829787,0,1,0,0,1,0,0
1396.0,0.4871794871794871,0.7845927750448097,0.2393617021276596,0,1,0,0,1,0,0
1500.0,0.3333333333333333,0.3140390113701136,0.0797872340425532,0,1,1,0,0,0,0
1500.0,0.4615384615384615,0.6243536066403111,0.1382978723404255,0,1,0,0,1,0,0
1500.0,0.4358974358974359,0.0,0.1808510638297872,1,0,1,0,0,0,0
1600.0,0.5641025641025641,0.5030296648483337,0.2180851063829787,0,1,1,0,0,0,0
1623.0,0.4615384615384615,0.4730809642735328,0.1808510638297872,0,1,1,0,0,0,0
1650.0,0.5128205128205128,0.4531746812957397,0.0797872340425532,0,1,1,0,0,0,0
1690.0,0.4871794871794871,0.7360631983280187,0.0531914893617021,0,1,0,0,1,0,0
1700.0,0.4871794871794871,0.5301375538804204,0.1808510638297872,0,1,0,0,1,0,0
1700.0,0.4358974358974359,0.4935984452222403,0.1808510638297872,0,1,1,0,0,0,0
1596.0,0.358974358974359,0.6701362261844536,0.1382978723404255,0,1,1,0,0,0,0
1599.0,0.4358974358974359,0.3851439977841212,0.0797872340425532,0,1,1,0,0,0,0
1599.0,0.4871794871794871,0.3778233569190128,0.0797872340425532,0,1,1,0,0,0,0
1800.0,0.4871794871794871,0.937964550517687,0.1808510638297872,0,1,0,0,1,0,0
1800.0,0.4615384615384615,0.6632688332528323,0.2393617021276596,0,1,0,0,1,0,0
1800.0,0.4358974358974359,0.7173335286725101,0.1808510638297872,0,1,1,0,0,0,0
1900.0,0.6153846153846154,0.6747144881388678,0.1968085106382978,0,1,0,0,1,0,0
1906.0,0.5384615384615384,0.5655801688005183,0.1968085106382978,0,1,1,0,0,0,0
1999.0,0.5128205128205128,0.4435122594409484,0.1968085106382978,0,1,1,0,0,0,0
1999.0,0.3333333333333333,0.2590517961666213,0.0797872340425532,0,1,1,0,0,0,0
2000.0,0.5641025641025641,0.7933395445087181,0.1968085106382978,0,1,0,0,1,0,0
1920.0,0.6153846153846154,0.7704001629861256,0.1808510638297872,0,1,0,0,1,0,0
1960.0,0.4871794871794871,0.7388101555006673,0.1808510638297872,0,1,0,0,1,0,0
1960.0,0.4615384615384615,0.3222203654826518,0.0797872340425532,0,1,1,0,0,0,0
1996.0,0.2307692307692307,0.3601878918706092,0.0,0,1,1,0,0,0,0
2199.0,0.5128205128205128,0.580354220127413,0.0797872340425532,0,1,1,0,0,0,0
2200.0,0.3846153846153846,0.488379226594208,0.1808510638297872,0,1,1,0,0,0,0
2231.0,0.5897435897435898,0.3415474983232116,0.0797872340425532,0,1,1,0,0,0,0
2290.0,0.5384615384615384,0.3776699851435399,0.0797872340425532,0,1,1,0,0,0,0
2300.0,0.5641025641025641,0.5736424881022417,0.0797872340425532,0,1,1,0,0,0,0
2300.0,0.5897435897435898,0.6676364951573435,0.1382978723404255,0,1,0,0,1,0,0
2196.0,0.4871794871794871,0.5785732762271459,0.1808510638297872,0,1,0,0,1,0,0
2196.0,0.5641025641025641,0.4638855251380918,0.2393617021276596,0,1,1,0,0,0,0
2348.0,0.5897435897435898,0.5543657161431805,0.2393617021276596,0,1,1,0,0,0,0
2390.0,0.5128205128205128,0.7905445155855483,0.2180851063829787,0,1,0,0,1,0,0
2390.0,0.4615384615384615,0.7319427625690459,0.2393617021276596,0,1,0,0,1,0,0
2434.0,0.5897435897435898,0.5456189466792721,0.1968085106382978,0,1,0,0,1,0,0
2311.0,0.5641025641025641,0.5765107692166823,0.2393617021276596,0,1,1,0,0,0,0
2490.0,0.6153846153846154,0.5145645958424803,0.0797872340425532,0,1,1,0,0,0,0
2500.0,0.6153846153846154,0.5093453772144481,0.0797872340425532,0,1,1,0,0,0,0
2500.0,0.5128205128205128,0.7960384299308454,0.2180851063829787,0,1,0,0,1,0,0
2360.0,0.4102564102564102,0.6197753446858969,0.1382978723404255,0,1,0,0,1,0,0
2360.0,0.4615384615384615,0.4925912275922691,0.2180851063829787,0,1,0,0,1,0,0
2550.0,0.5641025641025641,0.8692906212014733,0.1968085106382978,0,1,0,0,1,0,0
2396.0,0.6153846153846154,0.7250753696374246,0.1968085106382978,0,1,0,0,1,0,0
2396.0,0.717948717948718,0.4114644257600487,0.1968085106382978,0,1,0,0,1,0,0
2396.0,0.4102564102564102,0.5373666295064404,0.3723404255319149,0,1,1,0,0,0,0
2600.0,0.6153846153846154,0.6663362687622898,0.0797872340425532,0,1,1,0,0,0,0
2600.0,0.6153846153846154,0.7585928254056913,0.3351063829787234,1,0,0,0,1,0,0
2600.0,0.6666666666666666,0.8639477895006719,0.1968085106382978,0,1,0,0,1,0,0
2600.0,0.6153846153846154,0.7585928254056913,0.3351063829787234,1,0,0,0,1,0,0
2650.0,0.4615384615384615,0.5675831584055745,0.1382978723404255,0,1,0,0,1,0,0
2690.0,0.5384615384615384,0.6476043099758039,0.1968085106382978,0,1,0,0,1,0,0
2700.0,0.5641025641025641,0.5304992365748191,0.1968085106382978,0,1,0,0,1,0,0
2700.0,0.4102564102564102,0.5717035941645473,0.3723404255319149,0,1,1,0,0,0,0
2700.0,0.6153846153846154,0.5847516407346279,0.1382978723404255,0,1,0,0,1,0,0
2556.0,0.4615384615384615,0.4735113208972478,0.1382978723404255,0,1,0,0,1,0,0
2599.0,0.6153846153846154,0.645871437826058,0.0797872340425532,0,1,0,1,0,0,0
2600.0,0.4358974358974359,0.545296179211486,0.1382978723404255,0,1,0,0,1,0,0
2600.0,0.5384615384615384,0.3293258280359027,0.1968085106382978,0,1,1,0,0,0,0
2790.0,0.4102564102564102,0.4453435642227141,0.1808510638297872,0,1,1,0,0,0,0
2800.0,0.5641025641025641,0.4663738105103159,0.0797872340425532,0,1,1,0,0,0,0
2800.0,0.6153846153846154,0.5635382639688495,0.0797872340425532,0,1,1,0,0,0,0
2839.0,0.5384615384615384,0.5092126076177701,0.1808510638297872,0,1,0,0,1,0,0
2850.0,0.5384615384615384,0.5694144631873402,0.1968085106382978,0,1,1,0,0,0,0
2899.0,0.5641025641025641,0.5881853372004386,0.0797872340425532,0,1,1,0,0,0,0
2900.0,0.5128205128205128,0.1367687084951939,0.2978723404255319,0,1,0,0,1,0,0
2720.0,0.5897435897435898,0.679292750093282,0.1808510638297872,0,1,0,0,1,0,0
2720.0,0.5384615384615384,0.3942501608114511,0.1968085106382978,0,1,1,0,0,0,0
2760.0,0.7692307692307693,0.6907384049793177,0.1968085106382978,0,1,0,0,1,0,0
2760.0,0.5641025641025641,0.4304916824425943,0.1808510638297872,0,1,0,0,1,0,0
2760.0,0.5384615384615384,0.6174862137086897,0.0531914893617021,0,1,0,0,1,0,0
2946.0,0.5641025641025641,0.2923815431947569,0.0797872340425532,0,1,1,0,0,0,0
2960.0,0.6410256410256411,0.6151970827314827,0.1968085106382978,0,1,0,0,1,0,0
2989.0,0.6153846153846154,0.4680975261361529,0.0797872340425532,0,1,1,0,0,0,0
2999.0,0.6666666666666666,0.8287409550712264,0.1968085106382978,0,1,0,0,1,0,0
2999.0,0.5641025641025641,0.528210105597612,0.1382978723404255,0,1,1,0,0,0,0
2999.0,0.6410256410256411,0.7053339040899903,0.1382978723404255,0,1,0,0,1,0,0
3900.0,0.5897435897435898,0.6518231783667966,0.1382978723404255,0,1,0,0,1,0,0
3900.0,0.6153846153846154,0.5974563176581275,0.1968085106382978,1,0,0,0,1,0,0
3990.0,0.358974358974359,0.5193030969652991,0.0797872340425532,0,1,1,0,0,0,0
3990.0,0.6410256410256411,0.6266198463077461,0.1382978723404255,0,1,0,0,1,0,0
3990.0,0.5641025641025641,0.3015861388541068,0.0797872340425532,0,1,1,0,0,0,0
3990.0,0.5897435897435898,0.5589165085258683,0.1382978723404255,0,1,0,0,1,0,0
3990.0,0.6153846153846154,0.614858291346856,0.0797872340425532,0,1,1,0,0,0,0
3999.0,0.6410256410256411,0.6268190007027632,0.2659574468085106,0,1,1,0,0,0,0
3999.0,0.5641025641025641,0.4057415983170309,0.1382978723404255,0,1,0,0,1,0,0
