price,year,km,kw,Automat,Manuál,Benzín,Benzín+Plyn,Diesel
1600.0,0.2608695652173913,0.4489627438881678,0.1052631578947368,0,1,1,0,0
1600.0,0.217391304347826,0.3881486840145535,0.031578947368421,0,1,1,0,0
1600.0,0.0869565217391304,0.5101746845677567,0.1368421052631579,0,1,1,0,0
1601.0,0.1739130434782608,0.6112491755143726,0.1052631578947368,0,1,0,0,1
1516.0,0.0434782608695652,0.4646694610523628,0.1368421052631579,0,1,1,0,0
1520.0,0.0869565217391304,0.4829698504223494,0.1052631578947368,0,1,0,0,1
1520.0,0.1304347826086956,0.3680737888040171,0.3894736842105263,0,1,1,0,0
1639.0,0.1739130434782608,0.384854996914828,0.031578947368421,0,1,1,0,0
1639.0,0.3043478260869565,0.3644779676163323,0.031578947368421,0,1,1,0,0
1650.0,0.1739130434782608,0.3546139279559139,0.1052631578947368,0,1,1,0,0
1650.0,0.0434782608695652,0.3872210047022277,0.1894736842105263,0,1,1,0,0
1650.0,0.0,0.6914827975063299,0.1052631578947368,0,1,0,0,1
1663.0,0.0869565217391304,0.4659524670737675,0.1894736842105263,0,1,1,0,0
1560.0,0.0869565217391304,0.5132109193812634,0.0736842105263157,0,1,1,0,0
1560.0,0.0,0.1670035532670908,0.1368421052631579,0,1,1,0,0
1560.0,0.0,0.2928572948360603,0.1368421052631579,0,1,1,0,0
1685.0,0.2608695652173913,0.5604161790676397,0.1052631578947368,0,1,1,0,0
1690.0,0.1739130434782608,0.3340454052213877,0.1052631578947368,0,1,1,0,0
1690.0,0.1304347826086956,0.2872188769973829,0.1052631578947368,0,1,1,0,0
1690.0,0.1304347826086956,0.45952679844252,0.1052631578947368,0,1,1,0,0
1699.0,0.3043478260869565,0.4652588352943679,0.1052631578947368,0,1,1,0,0
1700.0,0.3043478260869565,0.7036277367603566,0.0736842105263157,0,1,0,1,0
1700.0,0.0434782608695652,0.4843954126683546,0.3894736842105263,0,1,0,0,1
1700.0,0.1739130434782608,0.4064767335475223,0.1052631578947368,0,1,1,0,0
1596.0,0.1739130434782608,0.3042405157556543,0.031578947368421,0,1,1,0,0
1596.0,0.0,0.3921147258452307,0.1368421052631579,0,1,1,0,0
1704.0,0.3478260869565217,0.6170088725292028,0.1473684210526315,0,1,0,0,1
1704.0,0.3043478260869565,0.3234983723057937,0.1052631578947368,0,1,1,0,0
1704.0,0.3478260869565217,0.7562458775718632,0.1473684210526315,0,1,0,0,1
1704.0,0.2608695652173913,0.3003297942509415,0.031578947368421,0,1,1,0,0
1708.0,0.1739130434782608,0.4212961977914424,0.1052631578947368,0,1,1,0,0
1708.0,0.217391304347826,0.758109747015894,0.3894736842105263,0,1,0,0,1
1708.0,0.3043478260869565,0.6576608012936446,0.1052631578947368,0,1,1,0,0
1708.0,0.1304347826086956,0.3529245303091555,0.031578947368421,0,1,1,0,0
1708.0,0.1739130434782608,0.3365709908721462,0.1052631578947368,0,1,1,0,0
1785.0,0.1739130434782608,0.3424455839485946,0.1894736842105263,0,1,1,0,0
1790.0,0.1739130434782608,0.2353667099299985,0.1052631578947368,0,1,1,0,0
1790.0,0.2608695652173913,0.5114789676376094,0.1052631578947368,0,1,1,0,0
1790.0,0.1739130434782608,0.2776442051958552,0.031578947368421,0,1,1,0,0
1800.0,0.1304347826086956,0.3612757718249324,0.1052631578947368,0,1,1,0,0
